"","Kortnamn","Beskrivning","Kod"
"2085","U. Invånare 18-80 år med bra självskattat hälsotillstånd, andel (%)","Andel (%) invånare 18-80 år med bra självskattat hälsotillstånd. Resultatet baseras på data från de fyra befolkningsenkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T, Liv & hälsa år T, Folkhälsa i Skåne år T samt Hälsoenkät Stoc","U01405"
"2086","U. Invånare 18-80 år med nedsatt psykiskt välbefinnande, andel (%)","Andel (%) invånare 18-80 år med nedsatt psykiskt välbefinnande enligt instrumentet General Health Questionnaire (GHQ-12). Resultaten baseras på data från de fyra befolkningsenkäterna Hälsa på lika villkor (Statens folkhälsoinstitut), år T-2 till år T, Liv","U01406"
"2087","U. Akut hjärtinfarkt, antal/100 000 inv","Akut hjärtinfarkt, attacker per 100 000 invånare 20 år och äldre, år T-4 till år T. Uppgifterna är åldersstandardiserade. Huvud- eller bidiagnos från slutenvård samt fall med underliggande eller bidragande dödsorsak enligt dödsorsaksregistret. Källa Slute","U01407"
"2088","U. Insjuknade i lungcancer (män), antal/10 000 inv","Antal nya fall av lungcancer per 10 000 invånare, män. Uppgifterna är åldersstandardiserade. Endast maligna tumörer ingår. Den geografiska fördelningen har gjorts på personernas hemort. 3-års medelvärde för år T-2 till år T. Källa Cancerregistret, Socials","U01408"
"2089","U. Insjuknade i lungcancer (kvinnor), antal/10 000 inv","Antal nya fall av lungcancer per 10 000 invånare, kvinnor Uppgifterna är åldersstandardiserade. Endast maligna tumörer ingår. Den geografiska fördelningen har gjorts på personernas hemort. 3-års medelvärde för år T-2 till år T. Källa Cancerregistret, Soci","U01409"
"2090","U. Aborter bland kvinnor 15-19 år, 3-årsm, antal/1000","Antal aborter för kvinnor 19 år eller yngre per 1 000 kvinnor i åldersgruppen 15-19 år. 3-års medelvärde år T-2 till år T. Källa Socialstyrelsen","U01410"
"2091","U. Invånare 18-80 år med fetma, andel (%)","Andel (%) invånare 18-80 år med fetma. Resultatet baseras utifrån självskattad längd och vikt där fetma innebär ett Body Mass Index (BMI) värde över 30. BMI beräknas enligt formeln vikt (kg)/längd (cm)2. Resultatet baseras på data från enkäterna Hälsa på ","U01411"
"2092","U. Invånare 18-80 år med god självskattad tandhälsa, andel (%)","Andel (%) invånare 18-80 år med god självskattad tandhälsa. Data för tandhälsa kommer från enkäterna Hälsa på lika villkor (Statens folkhälsoinstitut) år T-2 till år T samt Liv & hälsa år T och frågan; Hur tycker du att din tandhälsa är? Källa Statens fol","U01412"
"2093","U. Kvinnor i befolkningen, andel (%)","Andel (%) kvinnor i förhållande till antalet invånare. Källa Statistiska centralbyrån och Sveriges kommuner och landsting","U01800"
"2094","U. Utrikes födda med utrikes födda föräldrar, andel (%)","Andel (%) utrikes födda med två utrikes födda föräldrar. Källa Statistiska centralbyrån","U01801"
"2095","U. Invånare 16-74 år med eftergymnasial utbildning, andel (%)","Andel (%) invånare 16-74 år med eftergymnasial utbildning. Källa Statistiska centralbyrån","U01802"
"2096","U. Invånare 18-64 år med låg inkomst, andel (%)","Antal invånare 18-64 år som har inkomst understigande 60 procent av medianinkomsten i riket för personer 18-64 år dividerat med antal invånare 18-64 år i kommunen. Inkomst avser totalinkomst, dvs. inkomst från förvärvsarbete, pension, kapital mm, samt tra","U01803"
"2097","U. Svenskfödda invånare 20-40 år med låg utbildningsnivå, andel (%)","Antal svenskfödda invånare 20-40 år med låg utbildningsnivå dividerat med antal svenskfödda invånare 20-40 år i kommunen. Låg utbildningsnivå avser okänd eller högst förgymnasial utbildning. Källa Registret över totalbefolkningen (RTB) samt Utbildningsreg","U01804"
"2098","U. Utrikes födda invånare 18-64 år med vistelsetid 0-5 år efter uppehållstillstånd, andel (%)","Antal utrikes födda invånare 18-64 år med vistelsetid i Sverige 0-5 år efter att uppehållstillstånd beviljades dividerat med antal invånare 18-64 år i kommunen. Källa Registret över totalbefolkningen (RTB)","U01805"
"2099","U. Utrikes födda invånare 18-64 år med vistelsetid 6-10 år efter uppehållstillstånd, andel (%)","Antal utrikes födda invånare 18-64 år med vistelsetid i Sverige 6-10 år efter att uppehållstillstånd beviljades dividerat med antal invånare 18-64 år i kommunen. Källa Registret över totalbefolkningen (RTB)","U01806"
"2100","U. Unga vuxna av invånare 18-64 år, andel (%)","Antal unga vuxna invånare dividerat med antal invånare 18-64 år. Unga vuxna avser personer 18-24 år. Källa Registret över totalbefolkningen (RTB)","U01807"
"2101","U. Befolkningsförändring under senaste femårsperioden, (%)","Förändring av antal invånare mellan första mätår och sista mätår i femårsperioden, redovisat i %. Källa SCB:s befolkningsstatistik.","U01900"
"2102","U. Invånare 20 år med grundläggande behörighet till universitet och högskola, andel (%)","Andel (%) invånare 20 år med grundläggande behörighet till universitet och högskola. Måttet avser personer som är folkbokförda i kommunen. Källa Skolverket.","U01901"
"2103","U. Valdeltagande i kommunvalet, (%)","Summa avgivna röster i kommunalvalet (giltiga och ogiltiga) i förhållande till antal röstberättigade. Procent. Källa Valmyndigheten.","U05400"
"2104","U. Valdeltagande i Europaparlementsvalet, (%)","Summa avgivna röster i Europaparlamentsvalet (giltiga och ogiltiga) i förhållande till antal röstberättigade, i procent. Källa Valmyndigheten","U05401"
"2105","U. Ersättning för krishantering, kr/inv","Total utbetalning av ersättning till kommunerna för uppgifter i krishanteringssystemet per invånare. Kommunen erhåller för uppgifter inom krishanteringssystemet en årlig ersättning från staten. För 2006 uppgick det totala beloppet till ca 250 miljoner kro","U07002"
"2106","U. Kvinnor som arbetar som brandpersonal i utryckningstjänst, andel (%)","MSB sammanställer årligen, i samverkan med länsstyrelserna, i vilken omfattning kommunerna anser att lagen om skydd efterföljs. Kommunerna eller kommunalförbunden fick ange hur många anställda som i huvudsak tjänstgör som brandmän eller befäl i utryckning","U07003"
"2107","U. Totala intäkter lantmäteri, kkr/årsarbetare","Total intäkt dividerat med antal årsarbetare (kkr). Källa: Egen uppgift från kommunen","U07009"
"2108","U. Skattekostnad lantmäteri, kr/inv","Intäkt nyttjat anslag dividerat med antal invånare (kr). Källa: Egen uppgift från kommunen","U07010"
"2109","U. Personalkostnad som andel av totala kostnader inom lantmäteri, (%)","Personalkostnader dividerat med totala kostnader, multiplicerat med 100.  Källa: Egen uppgift från kommunen","U07011"
"2110","U. Kostnad kompetensutveckling lantmäteri, kkr/anställd","Kostnad för kompetensutveckling dividerat med antalet anställda och år (kkr). Källa: Egen uppgift från kommunen","U07012"
"2111","U. Kompetensutveckling lantmäteri, antal dagar/anställd","Antal persondagar kompetensutveckling dividerat med antalet anställda och år (persondagar). Källa: Egen uppgift från kommunen","U07013"
"2112","U. Kostnad marknadsföring som andel av total kostnad inom lantmäteri, (%)","Kostnad för marknadsföring (och information) dividerat med total kostnad (%). Källa: Egen uppgift från kommunen","U07014"
"2113","U. Kostnad verksamhetsutveckling lantmäteri, kkr/anställd","Kostnad för verksamhetsutveckling dividerat med antalet anställda och år (kkr). Källa: Egen uppgift från kommunen","U07015"
"2114","U. Kostnad fastighetsbildning, kr/ärende","Kostnad för fastighetsbildning under ett kalenderår dividerat med antal fastighetsbildningsärenden under ett kalenderår (kr/st). Källa: Egen uppgift från kommunen","U07016"
"2115","U. Kostnad GIS och kartrådgivning, kr/inv","Kostnad för GIS och kartrådgivning dividerat med antal invånare (kr/inv). Källa: Egen uppgift från kommunen","U07017"
"2116","U. Kostnad förvaltning av geografisk information, kr/inv","Kostnad för förvaltning av geografisk information dividerat med antal invånare (kr/inv). Källa: Egen uppgift från kommunen","U07018"
"2117","U. Kostnad förvaltning av geografisk information, kr/km2","Kostnad för förvaltning av geografisk information dividerat med kommunyta (kr/km2). Källa: Egen uppgift från kommunen","U07019"
"2118","U. Kostnad uppbyggnad av geografisk information, kr/inv","Kostnad för uppbyggnad av geografisk information dividerat med antal invånare (kr/inv). Källa: Egen uppgift från kommunen","U07020"
"2119","U. Kostnad ortnamn och adressättning, kr/inv","Kostnad för Ortnamn och adressättning dividerat med antal invånare (kr/inv). Källa: Egen uppgift från kommunen","U07021"
"2120","U. Kostnad GIS-samordning, kr/inv","Kostnad för GIS-samordning dividerat med antal invånare (kr/inv). Källa: Egen uppgift från kommunen","U07022"
"2121","U. Kostnadstäckningsgrad för kart och GIS uppdrag, (%)","Kostnadstäckningsgrad för kart och GIS uppdrag (%). Källa: Egen uppgift från kommunen","U07023"
"2122","U. Kostnadstäckningsgrad för mätningsuppdrag, (%)","Kostnadstäckningsgrad för mätningsuppdrag (%). Källa: Egen uppgift från kommunen","U07024"
"2123","U. Kostnadstäckningsgrad för fastighetstekniska uppdrag, (%)","Kostnadstäckningsgrad för  fastighetstekniska uppdrag (%). Källa: Egen uppgift från kommunen","U07025"
"2124","U. Kostnadstäckningsgrad för grundkartor, (%)","Kostnadstäckningsgrad för grundkartor (%). Källa: Egen uppgift från kommunen","U07026"
"2125","U. Kostnadstäckningsgrad för nybyggnadskartor, (%)","Kostnadstäckningsgrad för nybyggnadskartor (%). Källa: Egen uppgift från kommunen","U07027"
"2126","U. Kostnad nybyggnadskartor, kr/karta","Kostnad för nybyggnadskartor dividerat med antal nybyggnadskarteärenden som avslutas under ett kalenderår. Källa: Egen uppgift från kommunen","U07028"
"2127","U. Kostnadstäckningsgrad för utstakning, (%)","Kostnadstäckningsgrad för husutstakning  (%). Källa: Egen uppgift från kommunen","U07029"
"2128","U. Kostnadstäckningsgrad för fastighetsplaner, (%)","Kostnadstäckningsgrad för fastighetsplaner (%). Källa: Egen uppgift från kommunen","U07030"
"2129","U. Personalkostnad lantmäteri, kkr","Löner arbetad tid, löner ej arbetad tid, kostnadsersättningarm sociala avgifter och personalsociala kostnader (kkr). Källa: Egen uppgift från kommunen","U07031"
"2130","U. Avskrivningar och finansiella kostnader lantmäteri, kkr","Kostnad för avskrivningar. Internränta eller försening av leverantörsfakturor (kkr). Källa: Egen uppgift från kommunen","U07032"
"2131","U. Övriga kostnader lantmäteri, kkr","Inköp av entrepenader och köp av verksamhet, konsulttjänster, ankomstregistrerade fakturor. Lokal-markhyror, fastighetsservice, hyra/leasing av anläggningstillgångar, bränsle, energi och vatten, förbrukningsinventarier och förbrukningsmaterial, kontorsmat","U07033"
"2132","U. Totala kostnader lantmäteri, kkr","Summa kostnader för personal, avskrivningar, finansiella och övriga kostnad (kkr).  Källa: Egen uppgift från kommunen","U07034"
"2133","U. Totala kostnader för utfördelning lantmäteri under ett kalenderår, kkr","Tid redovisad på verksamhet stödfunktioner och övriga kostnader konterade på verksamhet stödfunktioner, t ex hyra, OH (kkr). Källa: Egen uppgift från kommunen","U07035"
"2134","U. Nyttjat anslag lantmäteri, kkr","Det anslag som nyttjats i Kkr. Källa: Egen uppgift från kommunen","U07036"
"2135","U. Intäkt från nyttjandeersättning lantmäteri, kkr","Ersättning för den grundläggande verksamheten med geografisk information (kkr). Obs ej anslag för denna verksamhet. Här ingår MBK-Avtal, ABT-Avtal, dataleveranser. Källa: Egen uppgift från kommunen","U07037"
"2136","U. Intäkt från avgifter lantmäteri, kkr","Uppdragsintäkter, NDRK-avtal, DRK-avtal, KFF-avtal (kkr). Källa: Egen uppgift från kommunen","U07038"
"2137","U. Intäkter totalt lantmäteri, kkr","Nyttjat anslag + nyttjanderättsersättningar + avgifter (kkr) Källa: Egen uppgift från kommunen","U07039"
"2138","U. Årsarbetare lantmäteri, antal","Antal arbetstimmar för alla anställda inkl visstids- och deltidsanställda omräknat till normalårsarbetstid = 200dagar*8 tim=1600 timmar. Källa: Egen uppgift från kommunen","U07040"
"2139","U. Anställda lantmäteri, antal","Antal anställda med lön den 31/12, en deltidsanställd = en anställd. Källa: Egen uppgift från kommunen","U07041"
"2140","U. Kostnad kompetensutveckling lantmäteri, kkr","Totaltid för aktiviteten kompetensutveckling +  övriga kostnader som hör till kompetensutveckling (kkr). Källa: Egen uppgift från kommunen","U07042"
"2141","U. Kostnad marknadsföring lantmäteri, kkr","Totaltid för aktiviteten marknadsföring +  övriga kostnader som hör till  marknadsföring (kkr). Källa: Egen uppgift från kommunen","U07043"
"2142","U. Kostnad verksamhetsutveckling lantmäteri, kkr","Totaltid för aktiviteten verksamhetsutveckling +  övriga kostnader som hör till verksamhetsutveckling (kkr). Källa: Egen uppgift från kommunen","U07044"
"2143","U. Kompetensutveckling lantmäteri, antal dagar","Både kurser och lärande i arbetet som tidredovisas som kompetensutveckling. Redovisas i antal dagar. Källa: Egen uppgift från kommunen","U07045"
"2144","U. Intäkter fastighetsbildning, kkr","Intäkter Fastighetsbildning (kkr). Källa: Egen uppgift från kommunen","U07046"
"2145","U. Kostnad fastighetsbildning, kkr","Kostnad för Fastighetsbildning (kkr) Källa: Egen uppgift från kommunen","U07047"
"2146","U. Kostnad GIS och kartrådgivning, kkr","Kostnad GIS och kartrådgivning (kkr). Källa: Egen uppgift från kommunen","U07048"
"2147","U. Kostnad förvaltning av geografisk information, kkr","Kostnad förvaltning av geografisk information (kkr). Källa: Egen uppgift från kommunen","U07049"
"2148","U. Kostnad uppbyggnad av geografisk information, kkr","Kostnad uppbyggnad av geografisk information (kkr). Källa: Egen uppgift från kommunen","U07050"
"2149","U. Intäkter MBK-avtal och ABT-avtal samt försäljning av geodata/dataleveranser (ej NDRK), kkr","Intäkter MBK-avtal ochABT-avtal. Försäljning av Geodata/dataleveranser. Ej NDRK. Redovisas i kkr. Källa: Egen uppgift från kommunen","U07051"
"2150","U. Kostnad ortnamn och adressättning, kkr","Kostnad ortnamn och adressättning (kkr). Källa: Egen uppgift från kommunen","U07052"
"2151","U. Kostnad GIS-samordning, kkr","Kostnad GIS-samordning (kkr). Källa: Egen uppgift från kommunen","U07053"
"2152","U. Intäkter för kart och GIS uppdrag, kkr","Intäkter för kart och GIS uppdrag (kkr). Källa: Egen uppgift från kommunen","U07054"
"2153","U. Kostnad för kart och GIS uppdrag, kkr","Kostnad för kart och GIS uppdrag (kkr). Källa: Egen uppgift från kommunen","U07055"
"2154","U. Intäkter för mätningsuppdrag, kkr","Intäkter för mätningsuppdrag (kkr). Källa: Egen uppgift från kommunen","U07056"
"2155","U. Kostnad för mätningsuppdrag, kkr","Kostnad för mätningsuppdrag (kkr). Källa: Egen uppgift från kommunen","U07057"
"2156","U. Intäkter fastighetstekniska uppdrag, kkr","Intäkter fastighetstekniska uppdrag (kkr). Källa: Egen uppgift från kommunen","U07058"
"2157","U. Kostnad fastighetstekniska uppdrag, kkr","Kostnad fastighetstekniska uppdrag (kkr). Källa: Egen uppgift från kommunen","U07059"
"2158","U. Intäkter grundkartor, kkr","Intäkter grundkartor (kkr). Källa: Egen uppgift från kommunen","U07060"
"2159","U. Kostnad grundkartor, kkr","Kostnad grundkartor (kkr). Källa: Egen uppgift från kommunen","U07061"
"2160","U. Intäkter nybyggnadskartor, kkr","Intäkter nybyggnadskartor (kkr). Källa: Egen uppgift från kommunen","U07063"
"2161","U. Kostnad nybyggnadskartor, kkr","Kostnad nybyggnadskartor (kkr). Källa: Egen uppgift från kommunen","U07064"
"2162","U. Intäkter husutstakning, kkr","Intäkter husutstakning (kkr). Källa: Egen uppgift från kommunen","U07065"
"2163","U. Kostnad husutstakning, kkr","Kostnad husutstakning (kkr). Källa: Egen uppgift från kommunen","U07066"
"2164","U. Intäkter fastighetsplaner, kkr","Intäkter fastighetsplaner (kkr). Källa: Egen uppgift från kommunen","U07067"
"2165","U. Kostnad fastighetsplaner, kkr","Kostnad fastighetsplaner (kkr). Källa: Egen uppgift från kommunen","U07068"
"2166","U. Kostnadstäckningsgrad för fastighetsbildning, (%)","Intäkt fastighetsbildning dividerat med kostnad fastighetsbildning (%). Källa: Egen uppgift från kommunen","U07069"
"2167","U. Medarbetarengagemang (HME) infrastruktur, skydd m.m - Totalindex","Engagemangsindex för infrastruktur, skydd m.m enligt resultat från medarbetarenkät. HME står för Hållbart medarbetarengagemang och mäter såväl nivån på medarbetarnas engagemang som chefernas och organisationens förmåga att ta tillvara på och skapa engagem","U07200"
"2168","U. Medarbetarengagemang (HME) infrastruktur, skydd m.m - Motivationsindex","Motivationsindex för infrastruktur, skydd m.m enligt resultat från medarbetarenkät. HME står för Hållbart medarbetarengagemang och mäter såväl nivån på medarbetarnas engagemang som chefernas och organisationens förmåga att ta tillvara på och skapa engagem","U07201"
"2169","U. Medarbetarengagemang (HME) infrastruktur, skydd m.m - Ledarskapsindex","Ledarskapssindex för infrastruktur, skydd m.m enligt resultat från medarbetarenkät. HME står för Hållbart medarbetarengagemang och mäter såväl nivån på medarbetarnas engagemang som chefernas och organisationens förmåga att ta tillvara på och skapa engagem","U07202"
"2170","U. Medarbetarengagemang (HME) infrastruktur, skydd m.m - Styrningsindex","Styrningsindex för infrastruktur, skydd m.m enligt resultat från medarbetarenkät. HME står för Hållbart medarbetarengagemang och mäter såväl nivån på medarbetarnas engagemang som chefernas och organisationens förmåga att ta tillvara på och skapa engageman","U07203"
"2171","U. Nöjd Medborgar Index - Gator och vägar","Medborgarnas bedömning av kommunens gatu- och väghållning, skala 1-100. Källa SCB:s medborgarundersökningar.","U07400"
"2172","U. Nöjd Medborgar Index - Gång- och cykelvägar","Medborgarnas bedömning av kommunens gång- och cykelvägar skala 1-100. Källa SCB:s medborgarundersökningar.","U07401"
"2173","U. Nöjd Medborgar Index - Miljöarbete","Medborgarnas bedömning av kommunens miljöarbete, skala 1-100. Källa SCB:s medborgarundersökningar.","U07402"
"2174","U. Nöjd Medborgar Index - Renhållning","Medborgarnas bedömning av renhållningen i kommunen, skala 1-100. Källa SCB:s medborgarundersökningar.","U07403"
"2175","U. Nöjd Medborgar Index - Räddningstjänst","Medborgarnas bedömning av kommunens räddningstjänst, skala 1-100. Källa SCB:s medborgarundersökningar.","U07404"
"2176","U. Nöjd Medborgar Index - Vatten och avlopp","Medborgarnas bedömning av kommunens vatten och avlopp, skala 1-100. Källa SCB:s medborgarundersökningar.","U07405"
"2177","U. Nöjd Region Index - Bostäder","Medborgarnas bedömning av bostadssituationen i kommunen, skala 1-100. Källa SCB:s medborgarundersökningar.","U07406"
"2178","U. Miljöbilar i kommunorganisationen av totalt antal bilar, andel (%)","Antal miljöbilar dividerat med totalt antal bilar. Avser kommunen som organisation. Utgår från den miljöbilsdefinition som storstäderna Stockholm, Göteborg och Malmö enades om år 2008 och som vid tidpunkten var identiska med reglerna för statliga inköp. D","U07408"
"2179","U. Ekologiska livsmedel i kommunen, andel (%)","Kostnad i kronor för inköpta ekologiska livsmedel dividerat med kostnad i kronor för total mängd inköpta livsmedel i kommunen. Avser ekologiska livsmedel enligt KRAV-märkning, EU:s miljösymbol för ekologiska livsmedel eller andra likvärdiga symboler där d","U07409"
"2180","U. Hushållsavfall, total insamlad mängd, kg/invånare","Total insamlad mängd hushållsavfall i kilogram per invånare. Avser kärl- och säckavfall, grovavfall inklusive trädgårdsavfall, farligt avfall, jämförligt avfall från bland annat affärer, kontor, industrier och restauranger, samt den del av hushållsavfalle","U07410"
"2181","U. Hushållsavfall, återvunnet material i förhållande till totala mängden hushållsavfall, andel (%)","Kilogram återvunnet material dividerat med totala mängden hushållsavfall. Återvunnet material avser återvunnet material enligt lagen om producentansvar, insamlat och behandlat biologiskt nedbrytbart hushållsavfall samt annat återvunnet material som t.ex. ","U07411"
"2182","U. Andel miljöbilar av totalt antal bilar i hela den geografiska kommunen, (%)","Andel miljövänliga bilar i förhållande till totalt antal bilar, redovisad i procent. Avser hela den geografiska kommunen. Källa: SCB","U07412"
"2183","U. Sjukhusvårdade till följd av oavsiktliga skador (olyckor), antal/1000 inv","Treårsmedelvärde (år T-2 till år T), antal slutenvårdade till följd av oavsiktliga skador (olyckor) per 1000 invånare. Indikatorn anger antal personer som vårdats minst 24 timmar i slutenvård. Uppgifterna har hämtats från Socialstyrelsens patientregister.","U07413"
"2184","U. Utvecklade bränder i byggnad, antal/1000 inv","Uppgifterna har hämtats från Räddningsverkets insatsregister som bygger på de insatsrapporter som räddningstjänsterna utformar efter insatser/utryckningar. Registret innehåller bland annat alla insatser som den kommunala räddningstjänsten gjort till brand","U07415"
"2185","U. Anmälda stöld- och tillgreppsbrott, antal/1000 inv","Uppgifterna har hämtats från Brottsförebyggande rådets officiella kriminalstatistik och belyser brottsligheten utifrån de brott som anmäls till och handläggs av polis, tull, åklagare, domstol och kriminalvård. Brott som inte anmäls kommer därför inte med ","U07417"
"2186","U. Anmälda våldsbrott, antal/1000 inv","Uppgifterna har hämtats från Brottsförebyggande rådets officiella kriminalstatistik och belyser brottsligheten utifrån de brott som anmäls till och handläggs av polis, tull, åklagare, domstol och kriminalvård. Brott som inte anmäls kommer därför inte med ","U07418"
"2187","U. Samverkan - utför kommunen IVPA? (1=Ja, 0=Nej)","MSB sammanställer årligen, i samverkan med länsstyrelserna, i vilken omfattning kommunerna anser att lagen om skydd efterföljs. Samtliga kommuner eller kommunalförbund har tilfrågats om räddingstjänsterna genomför någon form av insats i väntan på ambulans","U07421"
"2188","U. Personer utbildade i att förebygga/hantera bränder eller andra olyckor, antal/1000 inv","Antal personer som har utbildats av kommunen i att förebygga eller hantera bränder eller andra olyckor per 1 000 invånare. Källa Räddningsverket","U07424"
"2189","U. Krisberedskap i kommunen, förmåga (2=Helt uppnådd, 1=Delvis uppnådd, 0=Inte uppnådd)","Kommunens förmåga att hantera en krissituation vid en extraordinär händelse. Det vill säga att kunna vidta nödvändiga åtgärder för att säkerställa de verksamheter som kommunen har bedömt alltid måste kunna upprätthållas och ge invånare och media tillräckl","U07425"
"2190","U. Har kommunen och polismyndigheten tecknat samarbetsavtal 2009 eller tidigare? (1=ja, 0=nej)","Undersökningen är genomförd av SKL under år 2009. Genom en enkät som varje polismyndighet har besvarat har frågor ställts om de har tecknat avtal med kommunerna enligt RPS modell Samverkan Polis och Kommun- för en lokalt förankrad polisverksamhet i hela l","U07429"
"2191","U. Informationsindex för kommunens webbplats - Bygga och bo","Informationsindex omfattar den information som finns på kommunens hemsida. Syftet med informationsindex är att kunna visa en samlad bild av kommunens informationsgivning till medborgarna och synliggöra starka och svaga sidor. Undersökningen går till så at","U07431"
"2192","U. Informationsindex för kommunens webbplats - Gator, vägar och miljö","Informationsindex omfattar den information som finns på kommunens hemsida. Syftet med informationsindex är att kunna visa en samlad bild av kommunens informationsgivning till medborgarna och synliggöra starka och svaga sidor. Undersökningen går till så at","U07432"
"2193","U. Informationsindex för kommunens webbplats - Tillstånd, tillsyn, näringsliv m.m","Informationsindex omfattar den information som finns på kommunens hemsida. Syftet med informationsindex är att kunna visa en samlad bild av kommunens informationsgivning till medborgarna och synliggöra starka och svaga sidor. Undersökningen går till så at","U07433"
"2194","U. Informationsindex för kommunens webbplats - Företagsperspektiv","Informationsindex ur företagsperspektivet omfattar den information som finns på kommunens hemsida. En extern granskare går igenom kommunens hemsida för att få svar på ett antal givna frågor. Svaret på varje fråga måste hittas inom tidsbegränsningen 2 minu","U07434"
"2195","U. Verksamheter som kommunerna angivit att de genomfört risk- och sårbarhetsanalyser för, antal","Syftet med RSA att ta reda på hur samhällsviktig verksamhet är utformad för att kunna fungeraunder svåra påfrestningar MSB frågar i enkäten följande %u201DFinns en sammanställd verksamhetsövergripande risk- och sårbarhetsanalys för kommunen enligt LXO, 2 ","U07439"
"2196","U. Larmbehandlingstid för räddningstjänst, mediantid i minuter.","Uppgifter om larmbehandlingstid kommer från SOS Alarm. Med larmbehandlingstid avses tiden från det att larmcentralen får larmet till dess att räddningstjänsten larmas ut. Observera att endast insatser med syfte att rädda liv, egendom och miljö ingår. I de","U07440"
"2197","U. Larmbehandlingstid för ambulans, mediantid i minuter","Uppgifter om larmbehandlingstid kommer från SOS Alarm. Med larmbehandlingstid avses tiden från det att larmcentralen får larmet till dess att ambulansen larmas ut. Observera att endast larm med prioritet 1 tagits med. I denna öppna jämförelse har uppgifte","U07441"
"2198","U. Responstid (tid från 112-samtal till första resurs är på plats) för räddningstjänst, mediantid i minuter","Uppgifter om responstider kommer från SOS Alarm. Med responstid avses tiden från det att larmcentralen får larmet till dess att räddningstjänsten anländer till skadeplatsen. Observera att endast insatser med syfte att rädda liv, egendom och miljö ingår. I","U07442"
"2199","U. Responstid (tid från 112-samtal till första resurs är på plats) för ambulans, mediantid i minuter.","Uppgifter om responstider kommer från SOS Alarm. Med responstid avses tiden från det att larmcentralen får larmet till dess att räddningstjänsten anländer till skadeplatsen. Observera att endast insatser med syfte att rädda liv, egendom och miljö ingår. I","U07443"
"2200","U. Leveranstid fastighetsbildning, antal dagar","Leveranstid = kalendertid i dagar från ansökningsdag (medianvärde) för fastighetsbildningdärenden som avslutats under ett kalenderår. Källa: Egen uppgift från kommunen","U07444"
"2201","U. Leveranstid nybyggnadskartor, antal dagar","Leveranstid (kalendertid i dagar från beställningsdag) per ärende för nybyggnadskartor (medianvärde). Källa: Egen uppgift från kommunen","U07445"
"2202","U. Nöjd Kund Index, Företagsklimat - Brandtillsyn","Nöjd Kund Index, Företagsklimat - Brandtillsyn: Kommunrankning, enkätundersökningen Insikt. Företagarnas bedömning av servicen inom myndighetsområdet Brandtillsyn (skala 0-100)\n","U07446"
"2203","U. Nöjd Kund Index, Företagsklimat - Bygglov","Nöjd Kund Index, Företagsklimat - Bygglov: Kommunrankning, enkätundersökningen Insikt. Företagarnas bedömning av servicen inom myndighetsområdet Bygglov (skala 0-100)\n","U07447"
"2204","U. Nöjd Kund Index, Företagsklimat - Markupplåtelse","Nöjd Kund Index, Företagsklimat - Markupplåtelse: Kommunrankning, enkätundersökningen Insikt. Företagarnas bedömning av servicen inom myndighetsområdet Markupplåtelse (skala 0-100)\n","U07448"
"2205","U. Nöjd Kund Index, Företagsklimat - Miljö- och hälsoskydd","Nöjd Kund Index, Företagsklimat - Miljö- och hälsoskydd: Kommunrankning, enkätundersökningen Insikt. Företagarnas bedömning av servicen inom myndighetsområdet Miljö- och hälsoskydd (skala 0-100)\n","U07449"
"2206","U. Nöjd Kund Index, Företagsklimat - Serveringstillstånd","Nöjd Kund Index, Företagsklimat - Serveringstillstånd: Kommunrankning, enkätundersökningen Insikt. Företagarnas bedömning av servicen inom myndighetsområdet Serveringstillstånd (skala 0-100)\n","U07450"
"2207","U. Nöjd Kund Index, Företagsklimat - Totalt","Nöjd Kund Index, Företagsklimat - Totalt: Kommunrankning, enkätundersökningen Insikt, företagarnas helhetsbedömning av servicen i myndighetsutövningen (skala 0-100)\n","U07451"
"2208","U. Anmälda brott om skadegörelse per 1 000 inv.","I brottskategorin brott om skadegörelse ingår ""skadegörelse/grov skadegörelse/åverkan på motorfordon (ej brand), genom brand (även motorfordon), klotter, mot stat, kommun, landsting (ej klotter), annan skadegörelse"" samt ""mordbrand/grov mordbrand"". Avser ","U07452"
"2209","U. Invånare som upplevt oro för bostadsinbrott, andel (%)","Andel personer som svarat 'Ja' på frågan 'Har det hänt under det senaste året att du oroat dig för att du ska drabbas av inbrott i din bostad?' Data från åren T-3 och T. Källa Nationella trygghetsundersökning, NTU","U07453"
"2210","U. Invånare som upplevt oro för misshandel/överfall, andel (%)","Andel personer som svarat 'Ja' på frågan 'Har det hänt under det senaste året att du oroat dig för att du ska bli överfallen eller misshandlad?'. Data från åren T-3 och T. Källa Nationella trygghetsundersökning, NTU","U07454"
"2211","U. Har kommunen och polismyndigheten tecknat samarbetsavtal 2011 eller tidigare? (1=ja, 0=nej)","Undersökningen är genomförd av SKL under år 2011. Genom en enkät som varje polismyndighet har besvarat har frågor ställts om de har tecknat avtal med kommunerna enligt RPS modell Samverkan Polis och Kommun- för en lokalt förankrad polisverksamhet i hela l","U07455"
"2212","U. Rakel-abonnemang per 1 000 inv.","Rakel är ett kommunikationssystem för samverkan och ledning. Måttet bygger på antalet grundabonnemang som kommuner eller räddningstjänstförbund tecknat efter andra kvartalet 2011. För räddningstjänstförbund som tecknat abonnemang har abonnemangen fördelat","U07456"
